Count,Company,PX_LAST,CUR_MKT_CAP,AVERAGE_DIVIDEND_YIELD,IS_EPS,PE_RATIO,PX_TO_BOOK_RATIO,EQY_DPS,CUR_RATIO,QUICK_RATIO,TOT_DEBT_TO_TOT_EQY,return_quarter,return_year,ten_percent_or_greater
1,A US EQUITY,30.1624,14662.8315,0.3315,0.73,9.9062,2.2229,0,3.2752,2.6185,46.0741,-0.006825882,-0.017545023,0
2,A US EQUITY,27.3807,13305.8089,0.7304,0.7,9.4253,1.9622,0.1,2.0148,1.3746,45.434,-0.092224094,0.168187811,1
3,A US EQUITY,25.736,12540.4677,1.1657,1.22,10.4614,1.7184,0.1,2.4453,1.7295,45.5545,-0.060067858,0.410390115,1
4,A US EQUITY,32.0216,15580.5073,1.3116,0.52,13.8895,2.0777,0.22,2.5525,1.8007,44.1226,0.244233758,0.29857034,1
5,A US EQUITY,29.6332,14386.2815,1.8223,0.48,13.619,1.9271,0.12,2.5252,1.8003,44.3858,-0.074587154,0.304054236,1
6,A US EQUITY,31.9858,15408.4134,1.7508,0.5,15.7148,2.2117,0.12,2.9574,2.0677,56.3883,0.079390683,0.253968949,1
7,A US EQUITY,36.2978,16791.0015,1.5979,0.64,15.2449,2.2866,0.12,3.1105,2.231,51.0304,0.134809822,0.089046719,0
8,A US EQUITY,41.5823,19294.6644,1.1832,0.59,19.3643,2.5512,0.132,3.275,2.3183,49.4768,0.145587336,-0.075087237,0
9,A US EQUITY,38.6433,18018.0456,1.3042,0.42,22.1376,2.2873,0.132,3.128,2.2414,47.8415,-0.070679111,0.070560744,0
10,A US EQUITY,40.1092,18692.6036,1.2865,0.44,26.8535,2.3694,0.132,3.0614,2.0785,39.2908,0.037934131,0.020962772,0
11,A US EQUITY,39.53,18436.5835,1.3357,0.07,37.6118,2.4981,0.132,3.2559,1.6809,31.3537,-0.014440577,-0.046293954,0
12,A US EQUITY,38.46,12916.6633,1.3729,0.19,36.5937,2.4305,0.1,3.9375,2.945,39.1038,-0.02706805,-0.021060842,0
13,A US EQUITY,41.37,13892.4722,1.1216,0.26,36.0576,3.3132,0.1,3.8925,2.9817,39.7981,0.075663027,-0.0045927,0
14,A US EQUITY,40.95,13644.2018,1.0549,0.33,33.101,3.3135,0.1,4.0774,3.1172,40.3069,-0.010152284,0.174847375,1
15,A US EQUITY,37.7,12493.9017,1.1459,0.42,30.4739,3.0505,0.1,3.7766,2.6732,39.6882,-0.079365079,0.155702918,1
16,A US EQUITY,37.65,12340.4987,1.0624,0.37,25.782,2.9997,0.115,3.5892,2.6906,42.8113,-0.00132626,0.300664011,1
17,A US EQUITY,41.18,13497.5719,1.0078,0.28,27.2693,3.3392,0.115,3.0786,2.4192,45.3541,0.0937583,0.336813987,1
18,A US EQUITY,48.11,15660.8489,0.8938,0.38,31.4484,3.7568,0.115,3.0669,2.4231,43.4192,0.168285576,0.242776969,1
19,A US EQUITY,43.57,14133.4442,1.0558,0.38,26.9885,3.3271,0.115,3.8466,3.0899,44.8422,-0.094367075,0.561395456,1
20,AA US EQUITY,19.0586,9077.6426,1.8889,-0.0056,12.2098,0.481,0.09,1.2627,0.5344,56.4148,-0.151544561,-0.081081507,0
21,AA US EQUITY,19.8313,9447.3327,1.8153,-0.39,25.6917,0.5185,0.09,1.1905,0.4672,56.5088,0.040543377,-0.083005148,0
22,AA US EQUITY,19.4393,9296.3764,1.8519,0.69,57.9296,0.5261,0.09,1.2959,0.5486,53.4346,-0.019766732,0.224658295,1
23,AA US EQUITY,18.1852,8684.7563,1.9796,0.06,17.2317,0.5065,0.09,1.1671,0.4038,52.5971,0.038365128,0.981523437,1
24,AA US EQUITY,23.8065,11384.8481,1.5122,-6.57,23.0641,0.8065,0.09,1.1415,0.4354,61.522,0.309114005,0.485417848,1
25,AA US EQUITY,28.8231,13873.8113,1.249,-0.48,33.1054,0.9926,0.09,1.2844,0.3881,53.8959,0.210723962,0.003882303,0
26,AA US EQUITY,33.347,17455.3023,1.0796,0.36,26.7293,1.0229,0.09,1.2645,0.4389,54.7736,0.156953971,-0.251177017,0
27,AA US EQUITY,36.0344,18948.2435,0.999,0.39,17.59,1.1465,0.09,1.8097,0.8876,59.3855,0.080588959,-0.399626468,0
28,AA US EQUITY,35.3626,19204.6164,1.018,0.36,12.2559,1.3036,0.09,1.4923,0.5905,59.8351,-0.018643296,-0.374921527,0
29,AA US EQUITY,28.935,15791.8044,1.2442,0.45,8.261,1.0235,0.09,1.5249,0.5253,63.6928,-0.181762653,-0.25851391,0
30,AA US EQUITY,24.971,13629.5575,1.4417,0.3,7.0935,0.8301,0.09,1.5038,0.5511,60.0424,-0.136996717,-0.168607585,0
31,AAL US EQUITY,36.6,17257.5255,0,0.66,11.9365,21.7245,0,1.0076,0.7741,1735.7991,0.44950495,0.442076503,1
32,AAL US EQUITY,42.96,30939.63,0,1.2,12.9767,7.5753,0,0.9919,0.7582,419.5546,0.173770492,-0.070414339,0
33,AAL US EQUITY,35.48,25549.2489,0.5637,1.31,10.5992,5.1194,0.2,0.9685,0.71,348.6019,-0.174115456,0.094419391,0
34,AAL US EQUITY,53.63,38466.8442,0.5594,0.84,9.3941,18.5084,0.1,0.8766,0.677,876.7937,0.511555806,-0.210330039,0
35,AAL US EQUITY,52.78,36769.1786,0.7579,1.34,7.5969,13.2485,0.1,0.9927,0.7728,684.5876,-0.015849338,-0.223001137,0
36,AAL US EQUITY,39.935,27666.9212,1.252,2.47,5.0079,7.4498,0.1,0.9378,0.7186,516.8867,-0.2433687,-0.291098034,0
37,AAL US EQUITY,38.83,26086.7922,1.0301,2.56,4.2792,6.607,0.1,0.9679,0.7557,546.5444,-0.027669964,-0.057172289,0
